newsid	title	itemid
N32755	Opinion: Browns' Freddie Kitchens, Jets' Adam Gase could be headed for one-and-done territory	1714
N17246	Ask Mr. Dad: 'Bad dad' can't connect with kids through play	552
N27341	These Brides Got Married in the Hawaiian Jungle, and There Was a Tiny Horse Involved - It Was Wild!	1280
N13974	Selfies In Sports	300
N21615	K-9 Officer Meets the Woman Who Provided the Bulletproof Vest That Saved Him	879
N41526	11 Powerful Products That Cut Your Cleaning Time in Half	2379
N60615	Kasich to Congress: 'Look in the mirror at how you want to be remembered'	3793
N31551	10 Incredible Home Updates That Are Totally Reversible	1609
N28862	This Is What the 2020 Toyota Supra Should've Looked Like From the Start	1392
N50497	Almost 1 million illegal marijuana plants seized in California	3037
N3274	Auburn transfer Joey Gatewood visiting Kentucky	1711
N461	How to Make Clipping Your Dog's Nails Pain-free	2691
N4593	Emily Ratajkowski Is Being Sued for $150,000 Over an Instagram Photo	2675
N57128	Watch Jen Aniston, Reese Witherspoon's Dramatic 'Morning Show' Trailer	3553
N19913	Chipotle issues TikTok challenge for Halloween	760
N24187	If you want baseball like it used to be, this is the World Series for you	1065
N34087	Why Professional Chefs Refuse to Cook with Truffle Oil	1804
N50999	2021 Kia Optima Shows Off Its Dramatic New Design	3068
N6445	Maryland county exec bans police station from displaying 'divisive' 'thin blue line' flag	4100
N38736	Bebe Rexha Claps Back at Body Shamers With Kelly Clarkson: 'A Number Doesn't Define You'	2171
N5163	New Hampshire shooting: Man barged into a church and wounded bride and bishop	3120
N62564	Fact check: Trump promotes false smear of Rep. Ilhan Omar	3941
N14439	Nickelodeon Universe -- the largest indoor theme park in North America -- opens this week	343
N2543	Boomers vs. Millennials: The Financial Gap Between Generations	1141
N10530	You Can Buy A Box Of Frosted Flakes, Froot Loops, And Rice Krispies All Mixed Together For One Day Only	35
N40396	6 Hall Of Fame QBs tell what makes Brady greatest ever	2299
N42050	Paula White, Newest White House Aide, Is a Uniquely Trumpian Pastor	2412
N3163	Check Out These Photos Of A European Brown Bear That's Almost Completely White!	1614
N42281	Democrats' 2020 race has a new shadow: Hillary Clinton	2427
N49972	7 chefs revealed their favorite jarred pasta sauces	2997
N22161	TobyMac says late son 'had an untamable grand personality,' shares last text exchange	912
N36529	Are we finally witnessing Dwight Howard's career resurgence?	1992
N57812	Air Force's X-37B space plane lands after record 780 days in orbit	3598
N35098	Stars attend the 2019 Governors Awards for the Academy of Motion Picture Arts and Sciences	1874
N1466	San Francisco District Attorney race still too close to call	362
N54225	Multiple Houses on Fire After Plane Crashes in NJ	3340
N28313	Family of slain ISIS hostage says they secretly met with her captors in Iraq	1352
N8567	Trailer - The Warrior Queen of Jhansi	4315
N42645	Winter is coming, very soon: Cold this weekend, and another snow threat next week	2457
N5886	Daphne Oz Just Shared the Most Relatable Abs Photo 10 Weeks After Giving Birth	3664
N31663	Arnold Schwarzenegger's photo flashback	1617
N30924	The Rock's Gnarly Palm Is a Testament to Life Without Lifting Gloves	1557
N64049	After Soldiers Surrender El Chapo's Son, a Shocked Mexican City Sighs With Relief	4067
N60239	Missing Link To Human Evolution Discovered: An Ape and Human All-In-One!	3760
N13508	Trump Allies Craft List of Potential Mulvaney Replacements	258
N4848	The Midlife Weight-Gain Struggle Is Real. Here's What You Can Do About It	2882
N40716	Lori Loughlin Is 'Absolutely Terrified' After Being Hit With New Charge	2327
N55922	Prosecutors want black judge who criticized incarceration rates of African Americans removed	3467
N18378	America's best inexpensive steakhouses	633
N6370	Miserable weather predicted for Halloween in Michigan: Rain, wind, maybe even snow	4041
N12785	With Carlos Beltran hire it's clear the Mets learned nothing from the Mickey Callaway mess	201
N19994	Trailer - Bennett's War	767
N37333	Justin Trudeau: no plans 'at all' for a coalition	2062
N14644	Charlize Theron & Margot Robbie Have Some Face Time in L.A., Plus Priyanka Chopra Jonas, Will Smith & More	359
N38390	Fact check: Trump falsely claims his 2000 book demanded the killing of Osama bin Laden	2146
N28614	A Look Back at Prince Charles and Camilla's Relationship Through the Years	1370
N30190	See inside the 300-square-foot tent that a couple transformed into a tiny home for their family	1496
N18697	15 of the best female country music stars of all time	657
N841	Paris Hilton Attends Funeral Service for Grandfather While Her Brother Barron Gives Heartfelt Eulogy	4300
N50316	The Diet You Need for Healthy Lungs	3026
N53861	My Immigrant Parents Wanted A Better Life For Me. This Is Why I Chose My Path Over Theirs.	3312
N30450	TV Shows Ending in 2020	1515
N64531	Islamic State silent on Baghdadi death as it searches for successor	4107
N45999	Trump's visit to Chicago creates stir before he even arrives	2681
N6939	Washed? After third straight triple-double LeBron James sends message to haters	4198
N22599	The 20 Most Haunted Hotels in America	947
N16655	Trump Stymies California Climate Efforts Even as State Burns	507
N174	Suspected white supremacist arrested in thwarted synagogue attack, FBI says	567
N1985	Lady Gaga Opens Up to Oprah About Trauma, Self-Harm, and Choosing Kindness	757
N37690	Which NFL teams will rise, fall in second half of season?	2089
N37569	10 Supercars The Porsche Taycan Turbo S Is Faster Than, And 3 It Isn't	2083
N51061	The 35 Best (and Most Hilarious) Halloween Costumes Ever Worn by Celebrities	3075
N22495	China Says Part of Phase 1 Trade Deal Text 'Basically Completed'	940
N53615	Here's What It Means If You Have Ridges on Your Nails	3294
N53797	61 Amazon Products You'll Definitely Use Every Day	3311
N36165	Max Scherzer on neck injury: 'I'm as disappointed as I could possibly be'	1960
N27820	10 Facts Your History Teacher Probably Skipped Over In High School	1317
N18900	If You're Trying to Cut Down on Sugar, Use This Simple Ice Cube Hack	675
N61120	This Is Hands Down the Best Boxed Wine You Can Buy	3835
N63095	Zenvo TSR-S Is a Wild Hypercar with an Even Wilder Rear Wing	3989
N12844	I just went to Wegmans for the first time, and now I see why the grocery chain has such a massive cult following	206
N63467	Arrest Warrant Outlines Details of Windsor Locks Murder Case	4023
N33213	Opinions | The math for Warren's health-care plan adds up if you accept its ludicrous premise	1754
N3680	The 46 people who are as rich as half the world's population	2015
N49034	Here's where and when PG&E may shut off power in the Bay Area	2935
N15587	Your weekly horoscope: October 28th - November 3rd	436
N21259	How the 'Avalanche Method' Can Help You Shed Debt	848
N31801	Joe Biden reportedly denied Communion at a South Carolina church because of his stance on abortion	1629
N33276	Prince Harry acknowledges tensions with William in ITV interview	1756
N32696	Amazon's tiny profits explained	1703
N20695	Trump draws boos from World Series crowd	809
N9981	Tackle Any Terrain In This Built 1973 Chevrolet K5 Blazer	4403
N62485	Chevy Silverado ZRX Spied Showing Off Rugged Details	3935
N50035	Ireland has a hate crime problem and its legislation is not fit to deal with it	3006
N14661	Which City Has the Heaviest Drinkers in Your State	363
N57726	This girl nails the wave pool   then fails the exit spectacularly	3591
N10359	These Are The World's Most Magical Christmas Villages to Visit This Year	26
N7044	3 US Army soldiers killed during training at Fort Stewart, officials say	4205
N47904	No one wants to buy this $6.5 million century-old church-turned luxe townhome once owned by a tech CEO in San Francisco   take a look inside	2850
N49553	The 50 Most Common Last Names in America	2970
N43595	Best all-inclusive resorts in the world	2531
N4490	Amtrak Launches 50-Percent Off Fall Getaway Flash Sale	2617
N24625	18 of the most iconic record-breaking songs in pop music history	1096
N16437	Star witness expected in trial of man accused of killing fiancée	496
N49997	Rose McGowan rips Hillary Clinton over ties to 'predators' Bill Clinton, Harvey Weinstein	3000
N63033	More than 100 vegetable products recalled for possible listeria	3981
N59546	He had been homeless for decades. Then old friends saw his photo in a newspaper.	3710
N4607	Cause determined in Jessi Combs' fatal speed record crash	2687
N30989	35 Pet Peeves Interior Designers Have About Your Home	1563
N18845	Lizzo Refutes 'Truth Hurts' Plagiarism Claims: 'That Song Is My Life'	668
N16199	1 Family's Adoption Photo Shoot Is on Point, but the Touching Story Behind It Is Everything	473
N22273	The world's cutest homes are beyond beautiful	920
N21789	Look of the Day	890
N46597	The Before-And-After Photos of This Man Who's Three Years Sober Will Amaze You	2727
N59326	Urban Meyer: Michigan 'fixed' early-season problems	3694
N30473	Starbucks unveils its 2019 holiday cups	1518
N6233	Boxer Patrick Day dies after suffering traumatic brain injury in super welterweight fight	3923
N40704	Nurses reveal 10 things they wish they could tell patients, but can't	2324
N22665	Sen. Dianne Feinstein renews call for racing to be suspended at Santa Anita Park after latest horse death	953
N55250	What makes soda so addictive?	3416
N848	10 Amazing Things at Walmart You Can't Buy Anywhere Else	4304
N23784	35 musicians you should see live at least once in your life	1041
N46883	From Salvador Dali to Tom Selleck: 25 pictures to inspire anyone growing a mustache for men's health issues for Movember	2757
N1216	Trump offers obscene criticism as Beto O'Rourke ends campaign	153
N38330	Dog Learning to Talk By Using a Custom Soundboard to Speak: 'I'm in Constant Amazement'	2142
N21095	6 Common Myths About the Flu Shot, Debunked	839
N12801	The No. 1 Most Essential Kitchen Item, According To Rachael	202
N53388	Homes in these 25 waterfront cities are a total steal	3278
N52782	40 Best Belly-Shrinking Foods	3221
N2486	These are the Most Luxurious SUVs You Can Buy	1114
N61811	Archie's Photo Album: Prince Harry, Duchess Meghan's Royal Baby	3884
N23431	Already 6 Months! Prince Harry, Duchess Meghan's Son Is Trying to Talk	1013
N31175	27 handmade alternatives to buying gifts for the home	1581
N49333	A 5-Ingredient Chicken Chili That Tastes Just Like Mom's	2963
N59457	Good Samaritan Dressed as Superman Saves Family From House Fire	3703
N33392	Today in History: October 31	1762
N14655	Trent Williams says he had cancer, alleges Redskins failed to test for it for nearly 6 years	361
N32014	How to Help Your Body Adjust to Colder Weather	1651
N44399	Subtle Signs You May Have Clogged Arteries	2584
N2554	Insiders predict: NFL Week 9 winners	1148
N11894	Six teams on upset alert in NFL Week 7	135
N42267	Collector's items that are actually worthless today	2426
N16349	1 killed when plane crashes into townhome in Atlanta area	487
N40201	50 secrets it's OK to keep from your partner	2286
N22061	28 Simple Ways to Shrink Your Gut	906
N30119	Diplomats: Iran briefly held IAEA inspector, seized travel documents	1489
N19594	Funny celeb pics for October 2019	724
N54695	This Pomona College senior is living out of a converted school bus and saving $10,000 a year on student housing	3373
N9047	Here's What 'Cultural Appropriation' Actually Means   and Why It's Wrong	4346
N34937	Whitney Houston's Best Friend Robyn Crawford Breaks Her Silence on Their Love Affair in New Memoir	1861
N6659	North Carolina redistricting cases could offer map to others	4170
N19716	Narcissists may be bad friends and partners, but they're likely happier than you	741
N62006	Food Network star Carl Ruiz died of clogged arteries	3903
N57607	27 Easy Ways to Upgrade Your Kitchen Without Remodeling	3586
N46561	What Critics Get Wrong About the Red Meat Debate	2725
N6078	How to build a secure retirement by creating your own personal pension	3810
N35922	Florida's rare ghost orchids are getting cut off from water	1943
N36645	America's Next Major Food Destination Is Not Where You Think	2000
N16251	6 Silent Symptoms of Colon Cancer You Might Be Missing	480
N4917	States that are falling apart	2946
N22674	James Dean Reborn in CGI for Vietnam War Action-Drama (Exclusive)	954
N27226	These Target Shopping Hacks Are Absolutely Genius	1274
N53750	10 Lessons I Learned When My Thyroid Stopped Working	3306
N4192	US victims in Mexico massacre were tied to family with long history of violence	2400
N35307	Greg Hardy to fight no-contest ruling over inhaler use	1889
N52515	The ransomware superhero of Normal, Illinois	3198
N51588	Far from Vietnam's boomtowns, a rural region looks to Europe's distant shores for escape	3114
N5374	It's Easy to Overdose on Acetaminophen and It Can Kill You, New Study Says	3305
N32836	Dominance: Tiger Woods ties Sam Snead's record with win No. 82 at Zozo Championship	1719
N2390	As Inquiry Widens, McConnell Is Said to See Impeachment Trial as Inevitable	1046
N38556	All the times royals have met A-list celebs	2158
N54752	How the biggest stars of the decade have changed	3379
N46818	New York Senator Chuck Schumer Mocks Trump Making Florida His New Home, Donald Jr. Fires Back	2750
N39838	The Ultimate Guide to Mushrooms	2269
N62853	A bodybuilder showed how fitness influencers can make their bodies look Instagram-perfect in before-and-after photos	3967
N723	31 TV reboots, remakes, and spin-offs that are in the works	4218
N48755	'Brunchella' Sunday Service $55 Meal Being Compared To Fyre Festival, Food Not Part Of Kanye's Event	2917
N54051	Halloween storm to drench areas from Deep South to northeastern US	3328
N55398	The best PC gaming headsets of 2019	3425
N56638	LeBron James evacuates LA home, relocates family to hotel because of wildfires	3518
N50919	Inside Justin and Hailey Bieber's WEDDING!	3063
N39930	Simone Biles flips, twists, throws first pitch at World Series Game 2	2273
N26155	The Sudafed Solution to the Vaping Problem	1188
N38675	Meg Ryan Steps Out Sans Engagement Ring Amid Report She and John Mellencamp Split	2166
N57383	Here's Why McDonald's Keeps Bringing Back the McRib	3570
N12090	Threatening note found on plane in Atlanta	143
N57187	High school football player asks to pray with opponent whose mother has cancer	3555
N63688	Passenger Booted From Diverted Flight After Threatening Rant	4037
N1730	Two teenage girls missing from Kansas City, Missouri	556
N3909	The cheapest places to buy a home in every state	2200
N19679	America's Most Dangerous Cities	733
N1180	45 Easy Handmade Christmas Ornaments to Start Making Now	130
N44904	Dartz Prombron Black Stallion is the alternate-universe Hummer H2	2618
N12636	Storm frees boat trapped above Niagara Falls for 101 years	191
N38545	12 Things to NEVER do While Driving	2157
N23554	Joe Flacco criticizes Broncos coaches as 'afraid to lose' after Colts' comeback	1023
N36230	Opinions | If Republicans don't stand by Trump, they risk losing their base forever	1964
N27408	Betsy DeVos blasts 'Tinseltown' for ignoring a movie she likes and calls her critics 'bullies'	1285
N42128	Hugh Hefner's son Cooper weds 'Harry Potter' actress	2416
N8890	Home-schooled teen disappointed again in bid to wrestle for Millburn High	4334
N153	The average person takes 15 seconds to find the hidden bat in this brainteaser. How long does it take you?	411
N26348	Warren says she will soon release plan to fund 'Medicare for All'	1207
N64495	'College GameDay' shuns Gophers-Penn State matchup at U	4104
N56518	Felicity Huffman Released From Prison Before End of 14-Day Sentence	3510
N20413	The 2019 NFL Season	795
N27938	More than 18,000 TSA employees flock to private Facebook group to vent	1325
N53713	Melania Trump visits Boston Medical Center amid employee protests	3301
N22160	America's Unsafe Medical Products	911
N56967	Burned in 2008, Americans are refusing to tap their home equity	3540
N19825	Cops Mock Suspect in Santa Suit on Social Media	753
N9074	Trump approves plan to cap refugees at 18,000 in 2020	4348
N10256	The Latest: Brush fire breaks out near Getty Center	19
N43427	Mongolian Groom trainer 'very sorry' following horse's death at Breeders' Cup	2517
N20717	Anthony Davis enjoying lighter workload in L.A. next to LeBron James	812
N16812	17 hours a day, 7 days a week: Cruise-ship workers describe the grueling conditions they face on the job	519
N29341	100 vintage baby names coming back into style	1427
N90	Jennifer Aniston Just Gave a Rare Look at Her Natural Hair Texture	4341
N31882	Here's how the Fed rate cut affects you	1636
N16997	Five simple solutions for sore muscles	532
N26283	We tried 6 brands of ready-to-bake cookie dough ― and the winner was a classic	1200
N54347	The Rock, President Trump watch Masvidal win big at UFC 244	3349
N25761	UK to hold rare December election with Brexit on table	1163
N49289	What Is the Bermuda Triangle, and Do Pilots Really Avoid It?	2957
N17303	South Dakota set to execute man who stabbed former co-worker	557
N3969	What Are Keto Headaches? We Asked the Experts	2255
N17952	The Best Photos of College Football	604
N27373	Minus 45 degrees in October? An Arctic blast is breaking records across western and central US	1284
N18774	Doctors warn addiction of 'human Ken doll' has gotten dangerous	664
N11252	Pittsburgh Police Issue Warrant For Prominent Protester Accused Of Arson	87
N48589	1926 Fordson Prototype Is Ford's First Heavy-Duty Truck	2892
N26815	Pete Davidson and Kaia Gerber Sit Separately at Basketball Game After Spending Time Together	1244
N64986	Opinions | Trump's Fifth Avenue theory is showing some cracks	4142
N21846	15+ Vegan Thanksgiving Recipes That Are Anything but Basic	891
N25278	Er, Never Eating Dinner Together Could Be A Sign That You're Headed For Divorce	1135
N57485	82-year-old priest killed in flash floods after Halloween storm, police say	3575
N13429	Arizona 'Wizard Rock,' missing 1-ton boulder, mysteriously returns	251
N52236	10 of the best fast-food sandwich chains across the US	3170
N43924	50 Facts So Far-Fetched You Can't Help But Question Them	2556
N26213	Inflammation Might Be the Reason You're Not Losing Weight Here Are 5 Things You Can Do About It	1196
N35033	McDonald's ousted CEO will get 26 weeks of pay but forfeiting millions in stock options	1871
N55645	The Infertility Secret I Kept From My Mother	3444
N38687	Top 20 MLB free-agent position players	2167
N47218	Jeremy Roloff Vows to Pay More 'Attention' to His Health After Undergoing Hernia Surgery	2789
N6074	This stately home is having the ultimate yard sale	3805
N35259	'I'm 73 and fed up with California and want a gun-friendly, affordable city with good weather   so where should I retire?'	1883
N55312	Why are most aircraft painted predominantly white?	3421
N25577	Thomas D'Alesandro III: Former Baltimore mayor and brother of Nancy Pelosi dies	1150
N30157	Hard Rock Hotel: Demolition blasts one crane near French Quarter, other dangles	1490
N38585	Dog The Bounty Hunter Is Cutting Out White Foods After His Recent Health Scare	2161
N46911	3-year-old Alabama girl kidnapped from birthday party, believed to be in 'extreme danger'	2759
N27251	Jorge Masvidal says he's 'dead serious' about wanting to box against Canelo Alvarez	1275
N50195	Old tires on your car can have tragic consequences	3020
N7098	MLB commissioner Rob Manfred 'tremendously concerned' about Astros controversy	4210
N43704	Nationals fans rejoice in red as hometown heroes are honored	2542
N3056	How to Watch the National Dog Show This Thanksgiving	1523
N44698	The most exclusive hotel in every state	2601
N56844	50 Incredible DIY Home Projects	3533
N31793	Suspected computer error puts White Plains High School into lockdown, students being dismissed	1628
N46868	30 Funny Dog Photos You Need to See	2755
N56079	Bill Belichick has learned not to challenge pass interference	3475
N13866	The classic Porsche 911 saved after a decade of decay	283
N29561	High school cheerleaders go off-script to help man propose to their coach	1447
N8635	70 Suppers from Grandma's Recipe Box	4320
N46795	Eminem Says He Sides With Chris Brown Over Rihanna Assault on Alleged Leaked Song	2747
N9890	Amazon's Alexa may have witnessed alleged Florida murder, authorities say	4398
N6734	Kate Upton Slams 'Misogynist Comments' After She Weighs in on World Series Game 6 Controversy	4177
N12367	Jussie Smollett fails to persuade judge to drop Chicago lawsuit seeking $130,000 fine	171
N32074	Can You Really Get Sick From Eating Raw Cookie Dough?	1657
N58283	This Dreaded $8,000 Home Renovation Offers the Highest Return on Investment, According to Realtors	3631
N15636	Disney World's Skyliner system up and running for tests, reports say	440
N42394	Sinkhole Swallows Port Authority Bus On Busy Street In Downtown Pittsburgh	2438
N23124	Pete Carroll takes swipe at Patriots over their strict culture	990
N52270	Shocking Video Shows Train Narrowly Missing Biker	3172
N48600	Design errors draw blame in collapse of FIU pedestrian bridge that killed 6	2895
N15068	Rudy Giuliani is looking for a defense attorney, sources say	396
N5905	All the Shows Hoping to Be the Next Game of Thrones	3673
N63709	18th-century shipwreck discovered after 40-year search	4042
N3930	Insiders predict: NFL week 10 winners	2220
N28296	​20 Funny Things People in the 1970s Were Totally Guilty of Doing	1349
N44440	Friendly deer plays with dog	2589
N1841	Who Is on the Masked Singer Season 2? The Ultimate Guide to the Stars Under Those Masks	635
N52518	Extreme living at the edge of the world	3199
N19084	Giada De Laurentiis Admits She Was So Nervous To Cook For Prince William And Kate Middleton	690
N14207	Iraqi security forces open fire on protesters, kill 14	321
N56963	2019 Rolls-Royce Cullinan Puts Old-School Luxury into a New-Age Form	3539
N55742	President Donald Trump gets mixed reaction at UFC 244 in historic milestone for MMA	3454
N15577	Most Overrated College Football Teams After 9 Weeks: Nebraska, Army, Texas, and Others	435
N61455	NFL 100: The 100 greatest NFL players of all time	3863
N28241	The stock market keeps setting new highs in a rally no one saw coming	1345
N35640	Camila Cabello, Billie Eilish, Dua Lipa and Lizzo to Perform at 2019 American Music Awards	1920
N23756	2 people die when plane hits SUV, crashes in Ocala	1038
N14908	Caterpillar lays off 120 workers as trade war hits sales	382
N25864	The 6 Best Things You Can Do for Your Plumbing	1170
N10897	TV reporter fired after climbing on cars live at auto show	60
N64186	A bride and groom ordered $450 of Domino's pizza for their wedding meal because they 'couldn't decide on food'	4079
N13925	Northern Michigan father of 7 wins $80M Powerball jackpot	291
N39879	3 charged in car break-ins down the street from Chesterfield police station	2270
N43587	Trailer - Knives Out	2529
N11767	Awesome destinations where your dollar goes further	128
N57934	12 Declassified Navy SEAL Missions From Military History That Were Top Secret	3605
N47210	Francis Rooney: GOP congressman open to impeaching Trump said 'what I've heard so far is quite troubling'	2787
N20797	10+ Scary-Good Halloween Rice Krispie Treats	820
N14349	Celebrity Headshots from Before They Were Famous	335
N45050	Children were told to 'build the wall' at White House Halloween party	2621
N666	Lorde Pens Emotional Letter After Her Dog Pearl's Death: 'I Have Lost My Boy'	4171
N47012	Cousins has 4 TD passes as Vikings surge past Lions 42-30	2771
N1978	Ford plans to close engine plant in Michigan as part of UAW deal	747
N61972	New details on why Meg Ryan, John Mellencamp split, plus more news	3901
N14452	There's A Black Turtleneck Shortage Because People Are Dressing Up Like Elizabeth Holmes for Halloween	344
N31126	Rick Perry, top Trump administration aides scheduled to testify in impeachment inquiry	1573
N57700	Trumps Didn't Take Seats for Disabled at U.N.	3590
N56514	Road built by biblical villain uncovered in Jerusalem	3509
N45698	2020 Shelby GT500: Which Options And Packages Are Worth Getting?	2660
N38920	Hats off to her! A look at Princess Anne's most stylish millinery looks over the years	2187
N63062	A New Zealand man accidentally bought 1,000 chickens online for $0.96	3986
N24528	On Ukraine, Trump Is a Con Man, but He's Also a Mark	1088
N26595	'I Told My Partner I Cheated For All The Wrong Reasons But I'm Still Glad I Did It'	1225
N7812	Watch Hilarious Moment When A Gorilla Encounters Aggressive Goose	4258
N47095	Catherine The Great - Official Trailer	2779
N6466	20 Things You Should Never Do When Cooking Bacon	4118
N63302	This Wedding Photo of a Canine Best Man Captures Just How Deep a Dog's Love Truly Is	4005
N32939	Kevin Hart Spotted for the First Time Since Serious Car Accident: Pics	1730
